"speaker.gender","speaker","rater","gender","age","score"
"F",1,1,"M","A",4
"F",1,893,"F","Y",6
"F",1,404,"F","Y",4
"F",1,901,"M","Y",5
"F",1,924,"M","Y",4
"F",1,198,"F","A",2
"F",1,51,"M","A",3
"F",1,409,"M","A",4
"F",1,932,"F","Y",4
"F",1,910,"F","A",6
"F",1,208,"F","A",5
"F",1,917,"F","A",6
"F",1,892,"F","Y",6
"F",1,42,"M","A",5
"F",1,900,"M","Y",5
"F",1,943,"M","Y",5
"F",1,923,"F","Y",4
"F",1,904,"M","A",4
"F",1,170,"F","A",3
"F",1,930,"M","Y",2
"F",1,406,"F","Y",3
"F",1,938,"M","Y",4
"F",1,909,"M","Y",2
"F",1,203,"F","A",5
"F",1,36,"M","A",3
"F",1,279,"M","A",4
"F",1,942,"M","Y",4
"F",1,922,"M","Y",6
"F",1,934,"F","A",4
"F",1,169,"F","A",4
"F",1,49,"M","Y",5
"F",1,405,"F","Y",5
"F",1,927,"F","Y",4
"F",1,908,"M","A",6
"F",1,202,"F","Y",3
"F",1,31,"F","A",3
"F",1,281,"F","A",4
"F",1,596,"F","A",5
"F",1,918,"M","A",6
"F",1,941,"M","A",6
"F",1,85,"F","Y",4
"F",1,44,"M","A",6
"F",1,580,"F","A",4
"F",1,913,"M","Y",4
"F",1,926,"F","Y",3
"F",1,914,"M","Y",6
"F",1,915,"F","Y",5
"F",1,24,"M","A",5
"F",1,592,"F","A",6
"F",1,242,"M","Y",4
"F",1,940,"F","A",4
"F",1,897,"F","A",3
"F",1,79,"F","A",6
"F",1,899,"F","A",6
"F",1,578,"M","A",4
"F",1,925,"F","Y",2
"F",1,3,"F","A",6
"F",1,382,"F","Y",7
"F",1,18,"F","A",6
"F",1,945,"M","A",5
"F",1,589,"M","A",4
"F",1,55,"F","A",6
"F",1,916,"M","Y",6
"F",1,62,"M","Y",4
"F",1,907,"M","Y",6
"F",1,381,"M","Y",6
"F",1,911,"F","Y",5
"F",1,912,"M","A",5
"F",1,894,"M","Y",6
"F",1,935,"F","A",7
"F",1,905,"M","A",4
"F",1,588,"M","A",4
"F",1,432,"M","Y",2
"F",1,937,"F","Y",5
"F",1,933,"F","Y",4
"F",1,896,"F","A",6
"F",1,237,"F","A",5
"F",1,890,"F","A",6
"F",1,902,"F","A",4
"F",1,485,"F","A",6
"F",1,936,"M","A",7
"F",1,895,"F","A",5
"F",1,50,"M","A",4
"F",1,906,"M","Y",3
"F",1,251,"M","A",4
"F",10,208,"F","A",4
"F",10,910,"F","A",6
"F",10,936,"M","A",7
"F",10,578,"M","A",7
"F",10,935,"F","A",5
"F",10,432,"M","Y",5
"F",10,907,"M","Y",6
"F",10,926,"F","Y",6
"F",10,588,"M","A",5
"F",10,934,"F","A",6
"F",10,79,"F","A",4
"F",10,933,"F","Y",6
"F",10,592,"F","A",7
"F",10,485,"F","A",6
"F",10,940,"F","A",5
"F",10,409,"M","A",6
"F",10,50,"M","A",5
"F",10,905,"M","A",5
"F",10,281,"F","A",4
"F",10,31,"F","A",6
"F",10,42,"M","A",4
"F",10,914,"M","Y",7
"F",10,85,"F","Y",5
"F",10,924,"M","Y",4
"F",10,894,"M","Y",5
"F",10,406,"F","Y",6
"F",10,893,"F","Y",6
"F",10,906,"M","Y",5
"F",10,917,"F","A",5
"F",10,908,"M","A",4
"F",10,943,"M","Y",4
"F",10,381,"M","Y",6
"F",10,382,"F","Y",6
"F",10,915,"F","Y",6
"F",10,900,"M","Y",5
"F",10,938,"M","Y",5
"F",10,589,"M","A",7
"F",10,242,"M","Y",4
"F",10,24,"M","A",5
"F",10,51,"M","A",5
"F",10,896,"F","A",6
"F",10,62,"M","Y",6
"F",10,49,"M","Y",6
"F",10,202,"F","Y",6
"F",10,580,"F","A",6
"F",10,890,"F","A",7
"F",10,913,"M","Y",5
"F",10,937,"F","Y",6
"F",10,3,"F","A",4
"F",10,404,"F","Y",5
"F",10,902,"F","A",6
"F",10,405,"F","Y",5
"F",10,895,"F","A",4
"F",10,930,"M","Y",7
"F",10,941,"M","A",6
"F",10,596,"F","A",6
"F",10,237,"F","A",5
"F",10,912,"M","A",5
"F",10,911,"F","Y",7
"F",10,44,"M","A",5
"F",10,916,"M","Y",6
"F",10,945,"M","A",6
"F",10,1,"M","A",5
"F",10,251,"M","A",5
"F",10,36,"M","A",5
"F",10,932,"F","Y",7
"F",10,927,"F","Y",6
"F",10,899,"F","A",5
"F",10,170,"F","A",7
"F",10,925,"F","Y",5
"F",10,897,"F","A",4
"F",10,922,"M","Y",7
"F",10,942,"M","Y",5
"F",10,923,"F","Y",4
"F",10,169,"F","A",6
"F",10,18,"F","A",5
"F",10,909,"M","Y",4
"F",10,918,"M","A",4
"F",10,198,"F","A",6
"F",10,904,"M","A",6
"F",10,55,"F","A",7
"F",10,892,"F","Y",5
"F",10,279,"M","A",5
"F",10,203,"F","A",7
"F",11,933,"F","Y",7
"F",11,31,"F","A",6
"F",11,592,"F","A",1
"F",11,935,"F","A",7
"F",11,896,"F","A",5
"F",11,917,"F","A",2
"F",11,406,"F","Y",5
"F",11,578,"M","A",6
"F",11,588,"M","A",6
"F",11,890,"F","A",7
"F",11,924,"M","Y",5
"F",11,42,"M","A",5
"F",11,940,"F","A",3
"F",11,895,"F","A",6
"F",11,934,"F","A",4
"F",11,932,"F","Y",2
"F",11,941,"M","A",7
"F",11,925,"F","Y",5
"F",11,914,"M","Y",6
"F",11,894,"M","Y",6
"F",11,85,"F","Y",6
"F",11,916,"M","Y",7
"F",11,24,"M","A",6
"F",11,409,"M","A",6
"F",11,915,"F","Y",5
"F",11,51,"M","A",5
"F",11,910,"F","A",6
"F",11,36,"M","A",5
"F",11,904,"M","A",5
"F",11,943,"M","Y",5
"F",11,937,"F","Y",3
"F",11,208,"F","A",4
"F",11,404,"F","Y",5
"F",11,926,"F","Y",3
"F",11,901,"M","Y",6
"F",11,170,"F","A",5
"F",11,930,"M","Y",3
"F",11,908,"M","A",6
"F",11,198,"F","A",4
"F",11,432,"M","Y",6
"F",11,202,"F","Y",5
"F",11,279,"M","A",5
"F",11,381,"M","Y",5
"F",11,913,"M","Y",4
"F",11,922,"M","Y",7
"F",11,945,"M","A",5
"F",11,169,"F","A",3
"F",11,237,"F","A",6
"F",11,589,"M","A",7
"F",11,242,"M","Y",5
"F",11,405,"F","Y",4
"F",11,927,"F","Y",4
"F",11,281,"F","A",6
"F",11,485,"F","A",7
"F",11,580,"F","A",6
"F",11,596,"F","A",3
"F",11,918,"M","A",4
"F",11,911,"F","Y",7
"F",11,203,"F","A",6
"F",11,893,"F","Y",6
"F",11,938,"M","Y",3
"F",11,44,"M","A",6
"F",11,18,"F","A",6
"F",11,936,"M","A",6
"F",11,79,"F","A",4
"F",11,905,"M","A",4
"F",11,251,"M","A",7
"F",11,923,"F","Y",4
"F",11,382,"F","Y",7
"F",11,942,"M","Y",5
"F",11,892,"F","Y",4
"F",11,902,"F","A",5
"F",11,897,"F","A",3
"F",11,3,"F","A",5
"F",11,900,"M","Y",7
"F",11,899,"F","A",4
"F",11,909,"M","Y",5
"F",11,912,"M","A",6
"F",11,49,"M","Y",6
"F",11,62,"M","Y",6
"F",11,1,"M","A",7
