"speaker.gender","speaker","speaker.age","phonogenre","F0semitoneFrom27.5Hz_sma3nz_amean","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","loudness_sma3_amean","loudness_sma3_stddevNorm","loudness_sma3_percentile20.0","loudness_sma3_percentile50.0","loudness_sma3_percentile80.0","loudness_sma3_pctlrange0.2","loudness_sma3_meanRisingSlope","loudness_sma3_stddevRisingSlope","loudness_sma3_meanFallingSlope","loudness_sma3_stddevFallingSlope","spectralFlux_sma3_amean","spectralFlux_sma3_stddevNorm","mfcc1_sma3_amean","mfcc1_sma3_stddevNorm","mfcc2_sma3_amean","mfcc2_sma3_stddevNorm","mfcc3_sma3_amean","mfcc3_sma3_stddevNorm","mfcc4_sma3_amean","mfcc4_sma3_stddevNorm","jitterLocal_sma3nz_amean","jitterLocal_sma3nz_stddevNorm","shimmerLocaldB_sma3nz_amean","shimmerLocaldB_sma3nz_stddevNorm","HNRdBACF_sma3nz_amean","HNRdBACF_sma3nz_stddevNorm","logRelF0.H1.H2_sma3nz_amean","logRelF0.H1.H2_sma3nz_stddevNorm","logRelF0.H1.A3_sma3nz_amean","logRelF0.H1.A3_sma3nz_stddevNorm","F1frequency_sma3nz_amean","F1frequency_sma3nz_stddevNorm","F1bandwidth_sma3nz_amean","F1bandwidth_sma3nz_stddevNorm","F1amplitudeLogRelF0_sma3nz_amean","F1amplitudeLogRelF0_sma3nz_stddevNorm","F2frequency_sma3nz_amean","F2frequency_sma3nz_stddevNorm","F2bandwidth_sma3nz_amean","F2bandwidth_sma3nz_stddevNorm","F2amplitudeLogRelF0_sma3nz_amean","F2amplitudeLogRelF0_sma3nz_stddevNorm","F3frequency_sma3nz_amean","F3frequency_sma3nz_stddevNorm","F3bandwidth_sma3nz_amean","F3bandwidth_sma3nz_stddevNorm","F3amplitudeLogRelF0_sma3nz_amean","F3amplitudeLogRelF0_sma3nz_stddevNorm","alphaRatioV_sma3nz_amean","alphaRatioV_sma3nz_stddevNorm","hammarbergIndexV_sma3nz_amean","hammarbergIndexV_sma3nz_stddevNorm","slopeV0.500_sma3nz_amean","slopeV0.500_sma3nz_stddevNorm","slopeV500.1500_sma3nz_amean","slopeV500.1500_sma3nz_stddevNorm","spectralFluxV_sma3nz_amean","spectralFluxV_sma3nz_stddevNorm","mfcc1V_sma3nz_amean","mfcc1V_sma3nz_stddevNorm","mfcc2V_sma3nz_amean","mfcc2V_sma3nz_stddevNorm","mfcc3V_sma3nz_amean","mfcc3V_sma3nz_stddevNorm","mfcc4V_sma3nz_amean","mfcc4V_sma3nz_stddevNorm","alphaRatioUV_sma3nz_amean","hammarbergIndexUV_sma3nz_amean","slopeUV0.500_sma3nz_amean","slopeUV500.1500_sma3nz_amean","spectralFluxUV_sma3nz_amean","loudnessPeaksPerSec","VoicedSegmentsPerSec","MeanVoicedSegmentLengthSec","StddevVoicedSegmentLengthSec","MeanUnvoicedSegmentLength","StddevUnvoicedSegmentLength","equivalentSoundLevel_dBp"
"F",1,36,"spontaneous",28.53161,0.2147572,20.85137,30.25773,33.48737,12.636,213.1686,226.9361,174.2191,175.0202,0.8684973,0.8689463,0.2043959,0.6896696,1.277477,1.073081,15.84838,10.81236,8.525772,4.896863,0.6763837,0.776279,30.94799,0.4551575,6.797601,2.10506,16.86006,0.7967655,1.45555,9.891931,0.04660838,1.771986,1.253285,1.002227,5.267793,0.8955521,4.169802,2.761729,23.03991,0.5083867,573.8872,0.244429,1314.802,0.1217454,-73.48396,-1.220605,1697.051,0.1336007,875.202,0.4231097,-81.96202,-0.9961244,2641.719,0.09162379,999.4221,0.6375233,-83.54837,-0.9667399,-18.16627,-0.3595546,24.08605,0.3695264,0.005193492,6.571922,-0.043307,-0.3114315,0.8634506,0.6376736,37.59686,0.2176775,3.173193,4.783889,18.1208,0.8048162,-4.716809,-2.765038,-22.59856,32.3135,-0.08241943,-0.01871811,0.3476661,3.853956,3.285421,0.18875,0.1964967,0.1092857,0.1451336,-18.18717
"F",10,44,"prepared",34.56165,0.1963925,30.95831,33.48732,38.62943,7.671127,173.5782,98.42527,64.21593,32.53233,0.7191696,0.619296,0.2026003,0.7361525,1.114614,0.9120141,10.17478,5.916161,5.922387,3.060843,0.4196568,0.9630123,22.75037,0.9364272,5.739372,2.010043,6.973073,1.996306,-5.989297,-2.315582,0.03025741,1.532627,1.051013,0.9518906,7.943361,0.6405562,8.735851,1.298326,29.38916,0.3968133,572.8506,0.3534079,1288.313,0.2468173,-84.17181,-1.074134,1572.252,0.1868669,955.1304,0.3448163,-87.9055,-0.9208837,2679.559,0.09800976,800.8853,0.4647396,-93.23078,-0.8163164,-15.14327,-0.6909961,27.01679,0.4406082,0.06622955,0.5648605,-0.02371836,-0.6476867,0.5651553,0.7471022,31.30239,0.5898863,6.748627,1.665416,5.870761,2.747543,-10.85783,-1.307122,-3.97231,14.49472,0.004977724,-0.006596496,0.1767106,4.056795,3.073771,0.1973333,0.153078,0.1066667,0.1787985,-20.45137
"F",11,30,"spontaneous",30.83159,0.08416318,29.42566,30.8065,32.0476,2.621937,87.30116,146.2335,23.50959,18.67696,0.7887119,0.723664,0.2574061,0.6572242,1.238903,0.9814966,16.13532,9.292688,12.34025,8.292002,0.4295479,0.9884115,25.42697,0.6281184,2.546851,5.35388,12.4058,1.21274,2.248109,5.267045,0.02575252,1.034732,1.485631,0.8967114,5.903843,0.6321209,2.249114,2.239312,16.77253,0.4230871,499.7413,0.3301355,1303.782,0.1797405,-57.45735,-1.383526,1561.486,0.1209038,1173.209,0.524484,-66.00991,-1.096368,2384.719,0.1043912,1160.622,0.4973029,-66.25063,-1.087729,-12.00498,-0.5865723,19.85163,0.3692748,0.07363528,0.3970152,-0.025402,-0.4329308,0.5265793,0.8306844,30.2272,0.4033496,-1.136488,-11.66723,13.51326,1.204494,0.858942,15.12096,-8.504872,16.06479,0.01887379,-0.01478175,0.1571964,4.411765,3.717472,0.191,0.1252158,0.07533333,0.06936537,-22.80538
"F",12,25,"spontaneous",32.65939,0.1265533,31.84488,33.05163,35.19953,3.354656,263.3838,339.8444,76.69826,96.97301,0.7449876,0.6180637,0.3075404,0.6896089,1.144571,0.8370305,10.53423,4.800931,7.788362,5.431001,0.3666978,0.8077124,31.41703,0.4350371,7.931892,1.503482,11.53874,1.29398,-4.371654,-3.265838,0.04165807,2.411204,1.03621,1.193185,8.621008,0.5691687,9.970056,1.029519,24.48322,0.4047433,461.6302,0.4400988,1256.486,0.2185138,-51.23114,-1.444753,1446.395,0.1861617,976.7459,0.2994901,-56.49329,-1.122152,2363.024,0.1353885,907.0768,0.3753955,-61.56542,-0.9916354,-17.18877,-0.4696352,28.63417,0.3423396,0.0750071,0.4688205,-0.01944078,-0.526678,0.4029934,0.7496918,34.10447,0.3430041,6.02883,1.945444,12.32336,1.292402,-6.157734,-2.398053,-14.69091,24.63235,0.0366985,-0.01441407,0.2227882,3.838772,2.330097,0.3416667,0.2668905,0.08444445,0.07631966,-20.76748
"F",13,40,"spontaneous",34.66419,0.1509608,32.66722,34.63651,37.22946,4.562233,180.2256,184.6394,35.29674,18.3111,0.5102155,0.8074338,0.07518705,0.4478347,0.9215573,0.8463703,9.76036,5.568778,7.630085,3.919706,0.2775812,1.10992,22.73303,0.7308485,6.632782,1.586942,0.7361315,22.75763,-3.357515,-3.533453,0.03783335,1.50556,1.493231,0.9439023,7.529351,0.633453,7.377044,1.063223,26.16054,0.3821643,485.8877,0.4136072,1219.773,0.230111,-97.71267,-0.9264727,1432.778,0.2126229,928.0464,0.2287895,-88.90115,-0.9215868,2455.155,0.1286681,774.7095,0.280568,-94.65412,-0.8145368,-13.90515,-0.7257234,25.34132,0.4255854,0.09404207,0.4172293,-0.0207216,-0.6681656,0.3988144,0.8256796,30.39515,0.4577194,5.520862,2.072386,-1.76896,-10.79458,-5.62587,-2.30876,-6.270665,16.30942,0.06600893,-0.004888144,0.08346233,5.054152,3.460838,0.1689474,0.1537563,0.09789474,0.08451589,-24.56533
"F",14,41,"spontaneous",30.77053,0.180337,29.24227,31.63775,34.22703,4.984764,148.8159,113.1456,233.8542,392.4582,0.5696971,0.7170838,0.2666184,0.4452127,0.8231117,0.5564932,10.37104,8.053424,10.34506,7.162936,0.3057915,1.109462,22.86243,0.7559234,3.801782,3.32256,12.15019,1.313938,-9.033878,-1.823052,0.05084268,1.963881,1.562984,0.8668726,5.172839,0.9680977,5.765836,1.347355,23.90426,0.3709696,404.3428,0.3167618,1135.394,0.1692633,-81.91724,-1.123213,1411.478,0.1440346,754.6173,0.3375941,-84.98486,-0.9659939,2465.307,0.07576221,745.6082,0.4023726,-88.9975,-0.8896487,-14.4182,-0.4236931,23.2549,0.3411728,0.08935019,0.3391609,-0.02521784,-0.4658634,0.4168073,0.9080538,31.80552,0.3123224,0.06000094,196.4708,16.30034,1.062054,-16.56067,-0.8741295,-5.178112,11.85868,0.04070463,-0.01190093,0.1215715,3.469388,3.512397,0.1717647,0.1618727,0.1026667,0.07663477,-25.78503
"F",15,70,"spontaneous",30.3971,0.129016,26.4455,31.61741,33.80307,7.357571,28.61629,29.3346,24.20139,12.74371,0.7525044,0.6563943,0.2554351,0.7168046,1.137616,0.8821805,13.1388,8.292044,9.244539,4.991158,0.3105645,0.7178301,16.54726,0.9979058,11.55954,1.179193,12.95636,1.371457,-4.899098,-2.395919,0.03255586,1.21101,1.425427,0.8990946,5.751198,0.7668865,5.451682,1.136216,20.88362,0.4742794,436.067,0.3517299,1078.319,0.1933119,-56.20958,-1.470146,1495.067,0.1817118,655.0382,0.4330495,-65.58117,-1.153607,2510.088,0.09339654,818.9698,0.5153953,-67.68503,-1.099738,-11.44626,-0.6681924,19.43004,0.4921273,0.08742108,0.2863039,-0.02212231,-0.5707502,0.3787573,0.5497103,22.22427,0.5141555,10.14066,1.253994,13.34674,1.49638,-5.335039,-2.270112,-0.7688457,7.220789,0.06692408,-0.01356091,0.1242782,4.859813,2.462121,0.2923077,0.2549556,0.121,0.08537564,-24.83963
"F",16,66,"spontaneous",36.45043,0.1413355,35.10527,36.96008,37.96979,2.864521,67.87298,34.75219,64.06305,38.71019,0.8902514,0.608012,0.295428,0.8947015,1.417877,1.122449,12.52476,6.855788,11.1114,6.004338,0.5184743,0.8859814,12.8358,1.32262,12.12336,1.063208,9.768286,1.450672,-8.308413,-1.83662,0.05197612,1.955118,1.339743,0.9602597,7.803985,0.6493771,9.269232,1.097052,20.46777,0.4322287,480.2865,0.3247343,1150.328,0.1729555,-95.11894,-0.9569977,1569.254,0.1891791,890.4606,0.6262079,-88.29862,-0.9059325,2559.527,0.1070213,806.6694,0.5768369,-89.12123,-0.8886665,-12.89087,-0.6234348,20.52075,0.4642436,0.06091537,0.6815649,-0.02143173,-0.7016748,0.6939642,0.6838338,19.40901,0.6049099,9.76436,1.251272,8.979084,1.860858,-15.82613,-0.8628992,-4.189422,10.32714,-0.02088373,-0.007797266,0.222703,4.085603,3.149606,0.193125,0.1609627,0.1192857,0.1140466,-20.2134
"F",17,38,"spontaneous",31.57573,0.07712641,30.26403,31.47743,33.03595,2.771915,38.83117,29.8134,221.4504,581.3238,0.9198266,0.5122655,0.5115033,0.8786988,1.342393,0.8308896,12.90501,7.374301,11.1722,7.103313,0.4744686,0.668101,21.35453,0.8340711,9.331392,1.210087,14.11638,1.160292,-6.870743,-1.941335,0.03760443,2.165406,1.194932,1.111838,7.333284,0.4912749,5.494934,2.742656,21.41631,0.7109833,461.5101,0.3088657,1146.877,0.1918187,-57.25164,-1.392176,1534.87,0.1716225,899.1644,0.6619936,-66.78154,-1.067141,2525.048,0.1001724,825.3788,0.6163034,-69.43306,-1.002545,-14.34705,-0.5447887,23.01164,0.4251505,0.04744943,0.6110421,-0.02599312,-0.4944737,0.5498088,0.5600528,27.44382,0.4483287,8.446694,1.394712,15.64113,1.050337,-8.167916,-1.679821,-2.824826,8.577047,0.006205943,-0.0097963,0.236657,5.973025,2.729045,0.2678571,0.238123,0.07857142,0.09187391,-20.9891
"F",18,39,"spontaneous",26.4196,0.2066159,23.43972,28.43404,29.91916,6.479439,129.2226,78.45457,123.1032,148.2081,0.6550179,0.75668,0.222295,0.5534112,0.9462619,0.7239668,11.18272,6.711236,9.760358,6.744184,0.4475779,0.9164783,21.77141,0.6558399,14.24781,0.8684142,8.953331,1.211774,0.4530978,27.4567,0.06701723,1.948656,1.942209,0.8496339,3.101437,1.268323,2.397778,3.959531,25.99387,0.4357985,449.6076,0.3246389,1248.858,0.1790926,-85.09517,-1.090054,1487.147,0.1644644,836.4704,0.4140559,-93.80745,-0.8940554,2534.03,0.06927582,817.2711,0.5635661,-96.86749,-0.8383881,-16.68065,-0.4260617,25.45171,0.3368079,0.03777374,0.925353,-0.02522247,-0.5855501,0.6337996,0.6756945,26.83535,0.4939654,15.72066,0.8283944,8.672184,1.454527,-2.015686,-6.704222,-12.13282,20.94985,-0.01264752,-0.01298481,0.1748182,3.501946,3.73281,0.1489474,0.1003622,0.1027778,0.1026215,-22.60109
